2006-02-19,2006-04-02,weather
2006-04-07,2006-05-19,no
2006-05-27,2006-07-08,weather
2006-07-11,2006-08-22,no
2006-08-25,2006-10-06,no
2006-10-23,2006-12-04,weather
2007-01-21,2007-03-04,Inflation
2007-02-07,2007-03-21,hoarding
2007-03-23,2007-05-04,no
2007-05-07,2007-06-18,no
2007-06-07,2007-07-19,Transport
2007-07-31,2007-09-11,weather
2007-09-05,2007-10-17,hoarding
2007-09-24,2007-11-05,weather
2007-12-13,2008-01-24,no
2008-01-27,2008-03-09,no
2008-05-16,2008-06-27,weather
2008-07-20,2008-08-31,no
2008-09-03,2008-10-15,no
2008-11-02,2008-12-14,weather
2009-02-05,2009-03-19,no
2009-04-06,2009-05-18,no
2009-05-21,2009-07-02,no
2009-06-12,2009-07-24,Fuel
2009-07-05,2009-08-16,no
2009-10-24,2009-12-05,Inflation
2009-11-28,2010-01-09,weather
2009-12-26,2010-02-06,Inflation
2010-03-02,2010-04-13,no
2010-05-01,2010-06-12,Inflation
2010-06-06,2010-07-18,Transport
2010-06-15,2010-07-27,no
2010-10-05,2010-11-16,Transport
2010-10-27,2010-12-08,weather
2010-12-01,2011-01-12,hoarding
2010-12-26,2011-02-06,hoarding
2011-04-02,2011-05-14,Inflation
2011-06-26,2011-08-07,Inflation
2011-07-23,2011-09-03,Inflation weather
2011-08-21,2011-10-02,hoarding
2011-10-15,2011-11-26,Inflation
2011-12-27,2012-02-07,no
2012-02-10,2012-03-23,no
2012-03-26,2012-05-07,no
2012-05-20,2012-07-01,no
2012-07-04,2012-08-15,no
2012-08-18,2012-09-29,no
2012-10-27,2012-12-08,no
2012-12-23,2013-02-03,hoarding
2013-02-24,2013-04-07,no
2013-06-10,2013-07-22,hoarding
2013-08-29,2013-10-10,weather hoarding
2013-09-27,2013-11-08,hoarding
2013-11-13,2013-12-25,hoarding weather
2014-01-20,2014-03-03,hoarding
2014-05-23,2014-07-04,hoarding
2014-06-25,2014-08-06,hoarding weather
2014-08-22,2014-10-03,weather hoarding
2014-10-07,2014-11-18,no
2014-11-21,2015-01-02,no
2015-01-05,2015-02-16,no
2015-04-20,2015-06-01,no
2015-06-11,2015-07-23,weather
2015-07-06,2015-08-17,hoarding
2015-08-18,2015-09-29,weather
2015-09-19,2015-10-31,hoarding
2015-12-25,2016-02-05,Inflation
2016-02-12,2016-03-25,weather
2016-03-15,2016-04-26,Transport
2016-04-03,2016-05-15,hoarding
2016-05-18,2016-06-29,hoarding
2016-06-07,2016-07-19,weather
2016-07-23,2016-09-03,Transport
2016-09-16,2016-10-28,weather
2016-09-30,2016-11-11,weather
2016-10-18,2016-11-29,weather
2016-11-30,2017-01-11,no
2017-01-14,2017-02-25,no
2017-02-28,2017-04-11,no
2017-04-19,2017-05-31,no
2017-05-20,2017-07-01,Transport
2017-07-14,2017-08-25,hoarding
2017-08-15,2017-09-26,hoarding
2017-09-23,2017-11-04,weather
2018-10-04,2018-11-15,weather
2018-12-08,2019-01-19,no
2019-06-15,2019-07-27,hoarding
2019-08-11,2019-09-22,hoarding
2019-09-10,2019-10-22,hoarding
2019-10-11,2019-11-22,hoarding
