,date,price
0,2006-01-01,161.0
1,2006-01-02,166.5
2,2006-01-03,191.0
3,2006-01-04,121.5
4,2006-01-05,123.5
5,2006-01-06,98.0
6,2006-01-07,57.0
7,2006-01-08,58.5
8,2006-01-09,79.5
9,2006-01-10,64.5
10,2006-01-11,63.0
11,2006-01-12,80.5
12,2006-01-13,88.23682985619682
13,2006-01-14,95.1510400450378
14,2006-01-15,101.31592981185072
15,2006-01-16,106.80479840196331
16,2006-01-17,111.69094506070343
17,2006-01-18,116.04766903339882
18,2006-01-19,119.94826956537727
19,2006-01-20,123.46604590196657
20,2006-01-21,126.67429728849457
21,2006-01-22,129.646322970289
22,2006-01-23,132.4554221926776
23,2006-01-24,135.17489420098823
24,2006-01-25,137.87803824054865
25,2006-01-26,140.63815355668666
26,2006-01-27,143.52853939473005
27,2006-01-28,146.62249500000655
28,2006-01-29,149.993319617844
29,2006-01-30,153.71431249357028
30,2006-01-31,157.85877287251301
31,2006-02-01,162.5
32,2006-02-02,168.0
33,2006-02-03,136.5
34,2006-02-04,124.0
35,2006-02-05,137.0
36,2006-02-06,85.5
37,2006-02-07,68.60729461756374
38,2006-02-08,62.0
39,2006-02-09,77.0
40,2006-02-10,74.0
41,2006-02-11,59.0
42,2006-02-12,83.0
43,2006-02-13,186.0
44,2006-02-14,195.5
45,2006-02-15,203.0
46,2006-02-16,205.5
47,2006-02-17,210.0
48,2006-02-18,214.0
49,2006-02-19,214.0
50,2006-02-20,217.0
51,2006-02-21,216.0
52,2006-02-22,214.5
53,2006-02-23,213.5
54,2006-02-24,206.0
55,2006-02-25,195.0
56,2006-02-26,199.5
57,2006-02-27,200.0
58,2006-02-28,182.5
59,2006-03-01,165.0
60,2006-03-02,168.0
61,2006-03-03,138.5
62,2006-03-04,120.0
63,2006-03-05,122.0
64,2006-03-06,84.5
65,2006-03-07,60.0
66,2006-03-08,62.5
67,2006-03-09,73.5
68,2006-03-10,71.5
69,2006-03-11,64.0
70,2006-03-12,87.5
71,2006-03-13,112.5
72,2006-03-14,112.5
73,2006-03-15,111.59259259259258
74,2006-03-16,109.9074074074074
75,2006-03-17,109.0
76,2006-03-18,118.0
77,2006-03-19,122.5
78,2006-03-20,116.0
79,2006-03-21,116.5
80,2006-03-22,112.0
81,2006-03-23,115.5
82,2006-03-24,113.0
83,2006-03-25,119.0
84,2006-03-26,117.5
85,2006-03-27,120.5
86,2006-03-28,119.5
87,2006-03-29,122.0
88,2006-03-30,121.5
89,2006-03-31,128.5
90,2006-04-01,169.5
91,2006-04-02,178.5
92,2006-04-03,136.5
93,2006-04-04,121.5
94,2006-04-05,123.0
95,2006-04-06,91.5
96,2006-04-07,59.0
97,2006-04-08,64.0
98,2006-04-09,72.0
99,2006-04-10,73.0
100,2006-04-11,56.5
101,2006-04-12,92.0
102,2006-04-13,119.5
103,2006-04-14,118.0
104,2006-04-15,117.0
105,2006-04-16,117.0
106,2006-04-17,114.5
107,2006-04-18,111.0
108,2006-04-19,107.5
109,2006-04-20,107.5
110,2006-04-21,126.0
111,2006-04-22,131.5
112,2006-04-23,128.5
113,2006-04-24,129.5
114,2006-04-25,128.0
115,2006-04-26,131.0
116,2006-04-27,126.5
117,2006-04-28,125.0
118,2006-04-29,127.5
119,2006-04-30,98.0
120,2006-05-01,177.5
121,2006-05-02,183.5
122,2006-05-03,139.5
123,2006-05-04,113.0
124,2006-05-05,120.0
125,2006-05-06,86.0
126,2006-05-07,58.5
127,2006-05-08,71.0
128,2006-05-09,70.0
129,2006-05-10,74.0
130,2006-05-11,59.5
131,2006-05-12,96.0
132,2006-05-13,116.0
133,2006-05-14,113.0
134,2006-05-15,121.0
135,2006-05-16,124.0
136,2006-05-17,124.5
137,2006-05-18,125.0
138,2006-05-19,121.5
139,2006-05-20,121.5
140,2006-05-21,87.5
141,2006-05-22,104.0
142,2006-05-23,111.5
143,2006-05-24,116.0
144,2006-05-25,115.5
145,2006-05-26,114.5
146,2006-05-27,112.0
147,2006-05-28,118.18983783783784
148,2006-05-29,133.2895135135135
149,2006-05-30,152.0942702702703
150,2006-05-31,169.39935135135138
151,2006-06-01,180.0
152,2006-06-02,184.0
153,2006-06-03,135.0
154,2006-06-04,114.5
155,2006-06-05,118.0
156,2006-06-06,81.0
157,2006-06-07,58.5
158,2006-06-08,68.5
159,2006-06-09,71.0
160,2006-06-10,77.5
161,2006-06-11,62.5
162,2006-06-12,88.0
163,2006-06-13,26.0
164,2006-06-14,25.5
165,2006-06-15,48.49999999999999
166,2006-06-16,71.5
167,2006-06-17,66.5
168,2006-06-18,59.5
169,2006-06-19,70.0
170,2006-06-20,66.5
171,2006-06-21,65.5
172,2006-06-22,64.0
173,2006-06-23,67.0
174,2006-06-24,67.5
175,2006-06-25,60.0
176,2006-06-26,59.0
177,2006-06-27,50.5
178,2006-06-28,56.0
179,2006-06-29,56.0
180,2006-06-30,55.5
181,2006-07-01,180.0
182,2006-07-02,182.5
183,2006-07-03,130.0
184,2006-07-04,116.5
185,2006-07-05,114.0
186,2006-07-06,78.0
187,2006-07-07,58.5
188,2006-07-08,72.0
189,2006-07-09,74.0
190,2006-07-10,76.5
191,2006-07-11,91.484375
192,2006-07-12,104.5
193,2006-07-13,49.0
194,2006-07-14,51.5
195,2006-07-15,37.5
196,2006-07-16,51.0
197,2006-07-17,56.5
198,2006-07-18,51.5
199,2006-07-19,60.0
200,2006-07-20,61.0
201,2006-07-21,58.0
202,2006-07-22,50.774566473988436
203,2006-07-23,45.5
204,2006-07-24,54.0
205,2006-07-25,50.0
206,2006-07-26,52.5
207,2006-07-27,52.0
208,2006-07-28,55.5
209,2006-07-29,57.5
210,2006-07-30,55.0
211,2006-07-31,58.0
212,2006-08-01,190.0
213,2006-08-02,180.0
214,2006-08-03,126.0
215,2006-08-04,112.5
216,2006-08-05,109.0
217,2006-08-06,76.0
218,2006-08-07,57.0
219,2006-08-08,69.5
220,2006-08-09,77.0
221,2006-08-10,75.0
222,2006-08-11,61.5
223,2006-08-12,113.5
224,2006-08-13,73.5
225,2006-08-14,74.5
226,2006-08-15,76.0
227,2006-08-16,77.5
228,2006-08-17,77.5
229,2006-08-18,76.5
230,2006-08-19,76.5
231,2006-08-20,78.0
232,2006-08-21,79.0
233,2006-08-22,80.5
234,2006-08-23,80.0
235,2006-08-24,79.5
236,2006-08-25,83.0
237,2006-08-26,79.5
238,2006-08-27,79.5
239,2006-08-28,82.5
240,2006-08-29,78.0
241,2006-08-30,93.9375
242,2006-08-31,129.0
243,2006-09-01,164.0625
